SalePrice,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,YearBuilt,Neighborhood,LotArea,KitchenQual
208500,7,1710,2,856,2003,5,8450,1
181500,6,1262,2,1262,1976,24,9600,0
223500,7,1786,2,920,2001,5,11250,1
140000,7,1717,3,756,1915,6,9550,1
250000,8,2198,3,1145,2000,13,14260,1
143000,5,1362,2,796,1993,11,14115,0
307000,8,1694,2,1686,2004,20,10084,1
200000,7,2090,2,1107,1973,16,10382,0
129900,7,1774,2,952,1931,17,6120,0
118000,5,1077,1,991,1939,3,7420,0
129500,5,1040,1,1040,1965,18,11200,0
345000,9,2324,3,1175,2005,15,11924,2
144000,5,912,1,912,1962,18,12968,0
279500,7,1494,3,1494,2006,5,10652,1
157000,6,1253,1,1253,1960,12,10920,0
132000,7,854,2,832,1929,3,6120,0
149000,6,1004,2,1004,1970,12,11241,0
90000,4,1296,2,0,1967,18,10791,0
159000,5,1114,2,1114,2004,19,13695,1
139000,5,1339,1,1029,1958,12,7560,0
325300,8,2376,3,1158,2005,15,14215,1
139400,7,1108,1,637,1930,9,7449,1
230000,8,1795,2,1777,2002,5,9742,1
129900,5,1060,2,1040,1976,10,4224,0
154000,5,1060,1,1060,1968,18,8246,1
256300,8,1600,3,1566,2007,15,14230,1
134800,5,900,2,900,1951,12,7200,1
306000,8,1704,3,1704,2007,15,11478,1
207500,5,1600,1,1484,1957,12,16321,0
68500,4,520,1,520,1927,3,6324,3
40000,4,1317,1,649,1920,9,8500,0
149350,5,1228,1,1228,1966,18,8544,1
179900,8,1234,2,1234,2007,5,11049,1
165500,5,1700,2,1398,1959,12,10552,1
277500,9,1561,2,1561,2005,15,7313,2
309000,8,2452,3,1117,2004,15,13418,1
145000,5,1097,2,1097,1994,5,10859,0
153000,5,1297,2,1297,1954,12,8532,0
109000,5,1057,1,1057,1953,12,7922,1
82000,4,1152,0,0,1955,7,6040,3
160000,6,1324,2,1088,1965,12,8658,0
170000,5,1328,1,1350,1959,23,16905,0
144000,5,884,2,840,1983,19,9180,1
130250,5,938,1,938,1975,5,9200,0
141000,5,1150,1,1150,1959,12,7945,0
319900,9,1752,2,1752,2005,15,7658,2
239686,7,2149,2,1434,2003,11,12822,1
249700,8,1656,3,1656,2006,20,11096,1
113000,4,1452,0,736,1920,17,4456,0
127000,5,955,1,955,1966,18,7742,0
177000,6,1470,2,794,1997,8,13869,0
114500,6,1176,2,816,1934,3,6240,0
110000,5,816,2,816,1963,9,8472,0
385000,9,1842,3,1842,1981,24,50271,1
130000,5,1360,2,384,1955,12,7134,0
180500,6,1425,2,1425,1964,12,10175,0
172500,8,1739,2,970,1999,20,2645,1
196500,7,1720,2,860,2004,5,11645,1
438780,10,2945,3,1410,2006,21,13682,1
124900,5,780,1,780,1972,5,7200,0
158000,6,1158,2,1158,2004,19,13072,1
101000,5,1111,1,530,1920,9,7200,3
202500,8,1370,2,1370,2006,15,6442,1
140000,7,1710,2,576,1921,17,10300,0
219500,7,2034,2,1057,1997,5,9375,1
317000,8,2473,3,1143,2004,15,9591,1
180000,7,2207,2,1947,1970,12,19900,0
226000,7,1479,2,1453,2003,5,10665,1
80000,4,747,1,747,1945,17,4608,0
225000,7,2287,2,1304,1953,4,15593,0
244000,7,2223,2,2223,1973,12,13651,0
129500,4,845,2,845,1982,11,7599,0
185000,7,1718,2,832,1998,8,10141,0
144900,5,1086,2,1086,1954,12,10200,0
107400,3,1605,1,840,1915,17,5790,0
91000,4,988,1,462,1973,10,1596,0
135750,4,952,1,952,1956,12,8475,0
127000,5,1285,1,672,1948,3,8635,0
136500,4,1768,0,1768,1968,18,10778,0
110000,5,1230,2,440,1910,17,10440,0
193500,6,2142,1,896,1968,12,13000,1
153500,6,1337,2,1237,1998,11,4500,0
245000,8,1563,3,1563,2007,20,10206,1
126500,5,1065,2,1065,1960,12,8892,0
168500,7,1474,2,384,1995,8,8530,0
260000,8,2417,2,1288,1991,13,16059,1
174000,6,1560,2,684,2005,8,11911,1
164500,6,1224,2,612,2009,20,3951,1
85000,3,1526,0,1013,1915,9,8470,3
123600,4,990,0,990,1994,5,8070,0
109900,4,1040,2,0,1950,12,7200,0
98600,5,1235,2,1235,1961,12,8500,0
163500,5,964,2,876,1921,6,13360,0
133900,6,2291,2,1214,1910,17,7200,0
204750,6,1786,2,824,1997,5,9337,1
185000,6,1470,2,680,1993,8,9765,0
214000,7,1588,2,1588,1999,5,10264,1
94750,4,960,1,960,1965,7,10921,0
83000,5,835,1,458,1920,7,10625,0
128950,4,1225,0,950,1959,12,9320,0
205000,6,1610,2,1610,1977,16,10603,1
178000,6,1732,2,741,1985,19,9206,1
118964,5,1535,2,0,1979,19,7018,0
198900,7,1226,3,1226,2009,5,10402,1
169500,7,1818,1,1040,1931,9,7758,0
250000,8,1992,2,1053,2003,20,9375,1
100000,4,1047,1,641,1885,17,10800,0
115000,5,789,1,789,1948,17,6000,0
115000,5,1517,0,793,1919,9,8500,3
190000,6,1844,2,1844,1977,16,11751,0
136900,6,1855,1,994,1954,7,9525,0
180000,7,1430,2,384,2000,8,7750,0
383970,7,2696,3,1264,2007,5,9965,2
217000,6,2259,2,1809,1953,6,21000,1
259500,6,2320,1,1028,1945,6,7259,1
176000,6,1458,2,729,1999,20,3230,0
139000,5,1092,1,1092,1962,18,11616,0
155000,5,1125,2,1125,2006,7,8536,0
320000,7,3222,3,1673,1990,19,12376,1
163990,6,1456,2,728,2005,5,8461,1
180000,6,988,2,938,1969,4,21453,0
100000,4,1123,1,732,1939,9,6060,0
136000,6,1080,1,1080,1958,12,9464,0
153900,6,1199,2,1199,1993,19,7892,1
181000,6,1586,2,1362,1979,16,17043,0
84500,6,754,0,520,1935,9,6780,0
128000,6,958,2,1078,1976,14,4928,0
87000,5,840,0,672,1930,17,4388,0
155000,6,1348,2,660,1966,12,7590,0
150000,5,1053,2,1008,1958,12,8973,2
226000,7,2157,2,924,1966,12,14200,1
244000,6,2054,2,992,2000,8,12224,1
150750,5,1327,2,1063,1959,12,7388,1
220000,8,1296,2,1267,2001,23,6853,1
180000,5,1721,2,1461,1968,18,10335,0
174000,7,1682,2,1304,1970,16,10400,0
143000,5,1214,1,1214,1967,12,10355,0
171000,7,1959,3,1907,1988,11,11070,0
230000,8,1852,3,1004,1999,5,9066,1
231500,6,1764,2,928,1997,5,15426,1
115000,4,864,0,864,1971,12,10500,0
260000,7,1734,2,1734,2005,5,11645,1
166000,5,1385,2,910,1952,12,8520,0
204000,7,1501,2,1490,1999,5,10335,1
125000,5,1728,2,1728,1963,18,9100,0
130000,6,1709,2,970,2004,7,2522,1
105000,5,875,1,715,1931,3,6120,0
222500,7,2035,2,884,2001,8,9505,1
141000,7,1080,0,1080,2004,19,7500,1
115000,5,1344,1,896,1936,3,6240,0
122000,5,969,2,969,1975,5,10356,0
372402,8,1710,3,1710,2007,15,13891,1
190000,6,1993,2,825,1971,16,14803,0
235000,6,1252,2,1602,1960,4,13500,0
125000,6,1200,1,1200,1923,17,11340,0
79000,6,1096,0,572,1924,7,9600,0
109500,5,1040,2,0,1950,12,7200,0
269500,8,1968,3,774,2009,23,12003,2
254900,7,1947,2,991,2004,20,12552,1
320000,7,2462,2,1392,2005,8,19378,1
162500,6,1232,2,1232,1984,24,11120,0
412500,9,2668,3,1572,2003,15,13688,2
220000,7,1541,2,1541,2005,15,12182,1
103200,4,882,0,882,1956,17,5500,0
152000,6,1616,1,1149,1926,17,5400,1
127500,5,1355,0,644,1940,7,10106,0
190000,5,1867,1,1617,1955,4,10708,0
325624,8,2161,3,1582,2007,15,10562,2
183500,7,1720,2,840,2004,8,8244,1
228000,8,1707,2,1686,1981,23,16669,0
128500,5,1382,2,720,1941,17,12358,0
215000,6,1656,2,1080,1960,12,31770,0
239000,7,1767,2,1064,1987,21,5306,1
163000,6,1362,2,1362,1961,12,10197,0
184000,6,1651,2,1606,1986,23,12416,0
243000,6,2158,2,1202,1950,7,12615,1
211000,6,2060,2,1151,1988,4,10029,0
172500,5,1920,2,1052,1958,18,13650,1
501837,9,2234,3,2216,2008,21,17423,2
100000,5,968,2,968,1923,17,8520,0
177000,6,1525,2,756,2000,20,2117,1
200100,7,1802,1,793,1920,6,7588,0
120000,5,1340,1,0,1957,7,9060,0
200000,7,2082,2,1362,2003,17,11426,1
127000,5,1252,2,504,1908,3,7438,0
475000,10,3608,3,1107,1892,17,22950,2
173000,7,1217,2,1188,1990,11,9947,1
135000,5,1656,1,660,1916,17,10410,0
153337,5,1224,2,1086,1979,19,7018,0
286000,8,1593,2,1593,2001,21,4923,2
315000,8,2727,2,853,1932,6,10570,1
184000,7,1479,2,725,1972,12,7472,1
192000,7,1431,2,1431,1999,5,9017,1
130000,7,1709,2,970,2004,7,2522,1
127000,5,864,1,864,1972,5,7180,0
148500,6,1456,2,855,1976,14,2280,0
311872,7,1726,3,1726,2007,20,9416,2
235000,8,3112,2,1360,1918,12,25419,1
104000,6,2229,0,755,1912,17,5520,0
274900,8,1713,3,1713,2004,15,9591,2
140000,4,1121,2,1121,2003,7,8546,0
171500,6,1279,2,1196,1977,11,10125,0
112000,6,1310,1,617,1924,17,7000,0
149000,6,848,2,848,2004,5,4438,1
110000,5,1284,1,720,1947,17,3500,0
180500,7,1442,2,1424,1990,8,11851,0
143900,5,1696,1,1140,1962,18,13673,0
141000,4,1100,1,1100,1960,12,12493,0
277000,7,2062,2,1157,1988,19,14364,0
145000,6,1092,2,1092,1964,12,8250,0
98000,5,864,0,864,1925,7,5604,0
186000,6,1212,2,1212,2009,7,10420,1
252678,7,1852,2,900,2009,20,8640,1
156000,5,990,2,990,1995,5,13568,0
161750,6,1392,1,689,1977,5,10900,0
134450,5,1236,1,1070,1957,12,10011,1
210000,7,1436,2,1436,2004,5,8450,1
107000,4,1328,1,686,1925,17,9906,0
311500,7,1954,2,798,1939,6,15660,1
167240,7,1248,2,1248,2005,0,3010,1
204900,7,1498,2,1498,2006,5,8990,1
200000,6,2267,2,1010,2002,8,8068,1
179900,6,1552,2,713,1975,16,11475,0
97000,4,864,2,864,1971,12,10500,0
386250,10,2392,3,2392,2003,15,13472,2
112000,5,1302,1,630,1971,2,1680,0
290000,7,2520,3,1203,1995,13,9950,1
106000,6,987,1,483,1970,2,1869,0
125000,5,912,1,912,1967,18,8521,0
192500,7,1555,2,1373,2005,0,3182,1
148000,6,1194,1,1194,1959,12,8760,0
403000,8,2794,3,1462,1995,13,15138,2
94500,6,987,1,483,1972,2,1680,0
128200,5,894,1,894,1976,5,10650,0
216500,6,1960,2,860,2002,8,7851,1
89500,6,987,1,483,1971,2,1680,0
185500,7,1414,2,1414,2004,5,8773,1
194500,7,1744,2,996,1993,19,9453,1
318000,8,1694,3,1694,2007,15,12030,1
113000,6,1487,1,735,1945,7,8741,0
262500,8,1566,2,1566,2008,20,9000,1
110500,5,866,0,686,1945,17,3880,1
79000,5,1440,1,540,1900,17,5000,0
120000,6,1217,1,626,1980,19,10762,0
205000,7,2110,2,948,1994,19,8880,1
241500,7,1872,2,1845,1988,16,10400,0
137000,6,1928,1,1020,1910,17,9142,3
140000,6,1375,2,1367,1954,12,11310,0
180000,7,1668,2,840,2003,5,11317,1
277000,6,2144,2,1444,1958,4,159000,1
76500,3,1306,0,728,1940,3,5350,3
235000,8,1625,2,1573,2006,6,4750,1
173000,6,1640,2,798,2004,19,8366,1
158000,6,1302,1,1302,1964,12,9350,1
145000,5,1314,1,1314,1957,12,8400,0
230000,7,2291,2,975,1999,8,8738,1
207500,6,1728,2,864,2003,20,8791,1
220000,7,1604,2,1604,2006,5,8814,1
231500,7,1792,2,963,2001,5,12435,1
